Model, Buckling, Stiffness 
sample1, 285.404, 296.3079375
sample2, 213.988, 41.787234375
sample3, 288.255, 209.230828125
sample4, 328.882, 144.29034375
sample5, 225.334, 189.341828125
sample6, 305.787, 239.27984375
sample7, 198.121, 39.9163203125
sample8, 227.674, 41.01359375
sample9, 321.181, 94.4419375
sample10, 247.276, 301.33021875
sample11, 242.169, 277.8924375
sample12, 214.719, 81.1405625
sample13, 318.879, 145.9133125
sample14, 244.766, 263.3886875
sample15, 275.023, 279.02815625
sample16, 286.139, 251.623515625
sample17, 206.495, 82.2064296875
sample18, 203.372, 54.9753085938
sample19, 210.286, 118.450335938
sample20, 231.126, 72.3956796875
sample21, 298.352, 88.2036484375
sample22, 261.364, 189.604859375
sample23, 258.638, 386.39125
sample24, 333.873, 164.50128125
sample25, 209.672, 280.39071875
sample26, 225.682, 283.812125
sample27, 354.593, 123.61925
sample28, 318.874, 94.9686796875
sample29, 274.434, 319.7758125
sample30, 235.069, 84.54734375
sample31, 248.902, 58.0861132813
sample32, 223.941, 193.567171875
sample33, 265.679, 185.557328125
sample34, 231.113, 263.61946875
sample35, 283.528, 56.7095664062
sample36, 324.342, 66.470859375
sample37, 260.309, 306.8619375
sample38, 224.34, 161.685515625
sample39, 256.645, 276.4973125
sample40, 259.699, 225.126125
sample41, 251.253, 242.288296875
sample42, 205.213, 64.15678125
sample43, 265.645, 351.429375
sample44, 333.649, 101.214109375
sample45, 255.079, 334.81375
sample46, 283.304, 283.84096875
sample47, 160.299, 40.0613398437
sample48, 232.254, 103.444007813
sample49, 287.084, 277.165625
sample50, 244.646, 371.96190625
sample51, 293.83, 289.28340625
sample52, 281.393, 290.60028125
sample53, 322.366, 212.393421875
sample54, 238.851, 55.0621835937
sample55, 247.883, 103.046929687
sample56, 216.094, 161.533484375
sample57, 270.445, 306.15846875
sample58, 226.039, 203.30128125
sample59, 221.922, 246.93071875
sample60, 213.574, 284.1299375
sample61, 260.445, 342.9111875
sample62, 253.099, 235.92403125
sample63, 279.807, 259.447484375
sample64, 330.137, 191.432421875
sample65, 282.538, 61.1218632813
sample66, 260.65, 284.83246875
sample67, 200.281, 347.634
sample68, 248.53, 43.251265625
sample69, 226.649, 43.7957734375
sample70, 239.462, 68.4550078125
sample71, 261.668, 164.197734375
sample72, 259.286, 193.276796875
sample73, 247.059, 52.2871328125
sample74, 281.324, 224.506140625
sample75, 217.641, 98.698078125
sample76, 282.313, 84.11521875
sample77, 328.712, 155.901515625
sample78, 197.753, 280.48359375
sample79, 314.86, 216.382921875
sample80, 182.324, 40.0439101562
sample81, 214.449, 50.128578125
sample82, 248.119, 144.141984375
sample83, 233.357, 180.663453125
sample84, 228.762, 230.67615625
sample85, 208.951, 118.3745
sample86, 238.751, 48.5894375
sample87, 238.695, 83.6081484375
sample88, 182.085, 443.61040625
sample89, 193.954, 419.511125
sample90, 171.12, 535.512875
sample91, 208.382, 149.98846875
sample92, 226.034, 69.014421875
sample93, 253.695, 264.498
sample94, 224.211, 43.6614960938
sample95, 246.233, 69.7099765625
sample96, 224.283, 67.3747265625
sample97, 271.277, 45.13875
sample98, 222.342, 116.972460938
sample99, 213.226, 115.56040625
sample100, 259.622, 41.9601875
sample101, 202.131, 102.644453125
sample102, 211.444, 422.83034375
sample103, 295.034, 54.5626640625
sample104, 224.369, 141.402625
sample105, 301.822, 248.152890625
sample106, 223.053, 201.011109375
sample107, 255.682, 268.0815
sample108, 231.649, 54.9515039062
sample109, 226.694, 43.520171875
sample110, 282.647, 292.7295
sample111, 223.247, 478.1403125
sample112, 239.234, 300.60203125
sample113, 247.661, 40.47209375
sample114, 270.187, 247.825078125
sample115, 226.566, 163.9610625
sample116, 246.529, 359.8335
sample117, 362.584, 116.7046875
sample118, 271.904, 105.088976562
sample119, 255.255, 283.56090625
sample120, 299.912, 203.87125
sample121, 229.636, 333.634125
sample122, 210.442, 56.6570234375
sample123, 279.485, 304.39225
sample124, 230.079, 116.839234375
sample125, 283.559, 272.7819375
sample126, 229.466, 475.2178125
sample127, 182.471, 294.4075625
sample128, 277.718, 50.4774921875
