Amplitude,PhaseShift,Omega,Beta
1.3460,43.5322,0.5772,42.9092
-22.3826,-71.0626,1.1140,27.8442
-35.5551,52.9642,0.1948,-80.7480
-23.2681,54.1226,1.2113,35.1235
-101.9712,-77.8377,1.1178,78.2640
6.7794,-2.8158,1.8355,18.4791
53.9607,-64.1318,0.9705,46.9840
71.0161,61.6825,0.6995,76.9565
66.2180,-50.0646,1.3974,-62.1899
172.5466,-59.8353,1.0106,79.9475
12.9623,42.1110,1.9497,-81.2006
38.5149,-21.9370,1.1773,-46.8084
-124.9659,-33.0138,0.5169,67.9077
-81.9746,73.6627,0.4558,-35.3856
9.6744,5.0762,1.4214,0.1993
3.6090,-53.4108,0.7376,11.0330
-196.7766,89.5701,0.0463,21.0866
16.1146,88.3393,1.2733,25.6734
15.5872,-9.9422,1.3005,-25.7157
138.2498,66.8095,0.6030,89.9372
187.7659,6.0566,0.2149,50.9234
-16.6486,70.6341,1.1643,17.7124
15.9294,-81.0765,1.7913,-43.5282
-54.1610,-13.0945,1.8532,-65.8730
-115.7969,40.5924,0.2555,-63.1580
47.1716,58.2160,1.2887,-74.7315
-49.2615,15.2852,0.6348,-6.3952
-18.1706,-40.0913,1.5730,-66.6418
-2.5541,21.5430,0.2250,-7.6122
-136.2360,4.3126,0.6179,73.2651
-122.1182,-18.3982,0.4103,49.2052
-9.4005,-86.3478,0.1795,34.1018
-70.3439,-23.5013,0.5892,24.8569
6.0744,60.0179,1.8039,-5.0102
41.5594,-8.1003,1.6494,-59.2280
80.9556,-54.2013,0.5422,32.9214
-39.4212,-45.0843,1.9049,62.2764
-93.6511,22.9902,1.3276,66.3454
57.6603,30.1083,0.7093,-31.7559
155.4575,48.9821,0.0162,56.3027
-32.5642,-83.4201,0.3581,6.9152
-52.5947,64.7815,0.3892,-11.2329
57.0649,75.5154,0.0674,9.2986
169.0238,50.2378,1.5595,-88.4907
-154.5415,-60.5782,0.0527,15.6422
14.7301,-36.3277,1.8794,-45.0861
-36.0507,51.9523,1.0528,40.0547
6.0277,19.3612,1.8981,-14.4912
196.0336,-38.8510,0.6557,74.4628
-158.1509,0.8511,0.1360,-27.2887
24.8020,78.6911,0.5125,-2.8125
-181.8795,-24.5447,0.0964,12.8660
8.0755,-78.8873,1.4376,-56.7769
-162.0814,86.2418,1.1394,-77.1822
-10.1535,27.7724,0.1100,41.0636
83.5926,-89.1792,1.1990,81.0464
-121.8614,-84.0249,0.8992,61.4425
-86.6456,-0.9246,0.2472,55.0456
15.3138,-28.7393,1.3641,-60.3484
6.6645,-30.4677,1.9537,23.9221
-5.7352,84.7360,1.0431,20.3577
-20.6212,73.2528,1.0774,-21.6933
12.9644,-3.8445,1.9728,44.2302
-20.7770,70.1062,1.3818,-39.4076
-48.0652,-6.3608,0.8700,-38.5679
-25.8843,12.3676,0.0329,70.6242
101.8641,59.6271,0.7505,52.1729
-39.9970,34.3628,0.7971,-25.2722
-57.9686,24.4096,0.7326,-34.2979
-40.2221,31.5953,1.6657,84.6458
9.7933,11.5012,1.5396,-18.9962
-104.6273,-68.3523,0.4347,28.8752
99.9417,-72.7462,0.1255,87.7231
-30.2628,17.4766,0.8310,-12.8146
135.2154,9.6680,1.3422,-71.4557
6.8757,-35.1721,1.7095,7.5320
178.9498,-26.8636,1.6271,-86.7035
-38.8647,68.0947,1.2579,-49.4117
20.2086,-15.1708,0.9840,1.6568
-24.4657,-66.8928,1.8211,53.5098
-27.2048,47.6947,0.8476,-0.2419
-36.9751,-48.2610,1.4919,-78.0936
199.6784,-43.4399,0.4862,82.9504
21.9464,-47.8140,0.2766,64.6814
-14.9636,-62.0947,1.5318,58.0400
-12.8459,-27.1200,1.2406,5.0058
-14.6703,-17.7222,1.9910,45.8589
45.0355,-4.5917,0.8068,31.4082
50.6100,20.2124,0.9160,-42.6851
9.0128,8.1390,1.5083,-10.4142
-23.8580,-80.8876,1.6678,-49.9005
-171.5943,14.8152,0.6721,63.5009
-187.1234,1.7348,1.6048,-82.5650
-143.8485,46.2798,0.9644,-84.6040
183.0405,-41.0138,1.7222,-88.9278
-19.5448,-20.3323,1.4747,-41.0002
-65.4455,83.9241,1.7407,69.2731
-174.2221,-75.5436,0.3227,14.7510
163.2125,34.7430,0.8521,75.7423
40.4107,36.8428,0.1567,36.6498
12.6832,-57.2344,1.4143,-23.5317
34.7542,77.2817,0.7771,-57.2848
-92.7319,56.3701,0.4793,-16.2523
24.4104,-55.6099,1.0866,-29.5161
-49.6052,37.9309,0.3011,-3.6342
89.8502,80.6994,1.2260,-73.1195
32.2071,64.2512,1.0331,-36.1113
-70.4031,-31.7493,0.5658,-20.0823
13.9557,-70.2128,1.6851,38.5456
68.0022,-14.9213,0.9414,-51.1464
10.5105,-88.1759,1.4608,-16.8938
6.2697,28.5466,1.7695,3.0263
79.4378,-64.7085,0.3778,85.9361
-93.2204,39.8252,1.5888,-75.5253
-82.5182,-74.0641,0.9329,-55.2165
74.4605,26.6943,1.9262,-70.2263
-20.1722,81.8785,0.3447,-53.3449
38.3527,-43.8555,0.2955,-30.8332
94.8360,-11.1553,0.4237,-68.3748
-35.8459,-51.8813,1.7652,59.0107
