Amplitude,PhaseShift,Omega,Beta
-142.4877,42.4626,0.9391,-65.1927
-117.7243,-0.7953,0.4925,-73.4936
158.2772,80.3080,0.3623,13.2689
78.2143,79.6603,1.3227,75.6141
31.5535,52.1212,0.4757,-88.0286
90.1565,34.3223,0.3680,-39.2617
-65.5836,43.8466,0.5637,11.8697
164.4373,39.7941,0.2095,-60.3839
-46.8908,-88.2423,0.2513,88.7705
51.4878,-29.8925,0.8611,-39.7099
150.0028,16.2872,1.4732,73.8553
85.2969,69.2146,0.3772,24.7374
61.7859,67.1806,0.0209,-65.5257
-32.0582,52.9945,1.6502,-55.1281
36.7499,-81.7599,0.7358,2.9718
-54.2585,70.8152,1.8971,-71.1840
26.7680,-74.0567,0.0510,-6.9755
75.3065,39.2241,1.4251,-64.4332
-8.8430,88.2511,1.8742,-30.6964
-6.0171,14.2833,1.2845,-51.2635
28.8351,-69.8852,0.1176,77.8081
192.6312,75.0533,1.4431,-79.2360
9.1244,-77.7148,1.9324,-33.2047
-42.8246,-14.7932,1.7145,60.7744
42.7825,-4.9964,0.8176,29.8127
37.2464,-10.7957,0.9854,-63.0483
-70.4138,41.1469,0.0117,-14.8247
-8.8387,-45.4726,1.5620,13.7243
105.7376,35.8521,0.4790,76.9333
-73.1316,6.3390,1.8804,-81.6283
-65.4532,29.3601,0.3124,52.5493
-147.0169,9.9903,1.2945,86.8380
26.3987,5.3812,1.8109,-54.1784
69.9723,-21.3568,0.0833,72.7093
-101.2671,55.9684,0.5082,-28.8082
-25.1000,-55.2779,0.7617,35.3672
127.3113,-81.0414,0.1135,19.7096
-17.4567,12.5085,1.7262,-48.8104
-109.8673,-14.5402,0.5225,-70.9766
20.4740,-4.5211,0.0034,-35.0875
-5.9456,-36.9354,1.9002,-13.0979
6.2020,67.7245,1.3116,57.7024
-15.0030,-72.6207,1.7048,-40.9374
-9.3767,87.3745,1.6665,24.5078
-87.3553,-20.2207,0.5404,43.4663
34.1586,7.9259,0.7678,-6.2570
-150.2235,40.6457,1.2452,-86.0987
169.1631,-72.1708,0.0563,49.8749
-112.2322,32.9857,0.4278,10.8319
29.2329,-2.4644,1.2035,-40.7509
-33.4839,29.6376,0.8535,-22.2464
-66.1398,-28.9415,1.1798,57.6130
-35.9587,2.4868,0.8275,23.1557
9.9506,44.6426,0.0892,62.9424
-9.4361,-48.1548,0.6692,-45.1733
196.6967,38.0772,0.4144,87.3028
118.1897,-70.7201,0.9273,-79.6668
-38.8492,-63.8793,0.8285,-27.0723
30.4078,20.8662,0.9588,28.4195
139.4897,-82.7206,1.2159,88.4410
16.5845,10.7433,1.3616,30.4048
-34.9276,-39.3004,0.7016,44.5203
14.2904,-19.3469,1.8474,-43.3636
3.0209,79.3463,1.2412,-24.9888
29.0696,61.9748,0.9102,21.3843
-27.7863,56.6523,0.6047,-89.2462
58.1987,31.3312,0.8069,45.6224
181.3302,-83.4511,1.1520,76.2040
19.6687,34.4869,1.0072,-3.8563
-81.1754,-65.9754,0.2813,-12.2520
40.6253,-12.2601,0.4659,15.8311
65.9181,-49.3475,1.0409,54.0127
79.8469,-67.3072,1.3852,65.0143
48.3064,41.9320,0.6488,-8.1795
-96.2955,-0.3680,0.5777,-49.7517
10.2873,-78.5847,1.7433,31.3804
-14.0747,-62.9810,1.2505,-15.5083
-111.1006,-27.2546,0.0970,-38.6077
-56.3049,37.0778,0.0409,38.9962
63.0191,-79.6575,1.6162,-87.2511
-9.0900,30.8119,1.7352,-26.2273
-6.5302,11.7459,0.5344,69.2909
-8.3889,-61.9167,1.5397,2.5797
-59.0875,26.6381,0.6575,-25.9121
-32.3887,24.0925,1.1046,-63.6154
44.7975,17.0804,0.7960,41.8974
-145.5541,-80.4917,0.1048,65.4936
-3.1001,-16.8808,0.2146,-5.4465
115.4858,-42.4378,1.8219,-77.9547
-6.1710,86.1512,1.8009,-4.5938
-73.1401,-26.2026,1.1307,-58.2467
84.3590,-68.1794,1.9262,71.6745
20.4404,-35.4309,1.3377,-35.9355
70.9296,-34.5432,1.0283,58.3956
151.4436,55.1197,0.1886,-20.4418
35.6135,22.5443,0.1510,44.0991
-20.9802,83.5167,1.0860,-22.5214
-26.4047,57.6449,1.6962,-52.0392
-41.7365,75.8810,0.7094,12.1672
19.8365,13.9617,1.6581,46.0599
-0.7993,-49.1163,0.0385,-16.7993
-9.8944,-34.1115,1.6195,-24.4154
-63.2090,-1.7681,0.1325,-29.4220
-74.6284,33.6564,0.2463,67.3411
6.1827,-52.3170,1.7908,0.4109
116.7047,-3.8084,0.6279,-67.6428
-186.9181,58.8937,1.6818,86.3566
17.1579,-7.4564,1.8634,47.4316
8.6176,-13.8145,1.7631,25.7155
18.1883,-58.7685,1.0617,8.7046
125.0053,-50.3000,0.5260,-73.8709
-13.1315,-6.5488,1.2779,-13.4262
16.5736,-55.9328,1.1117,-8.5890
176.5343,50.6709,0.2017,84.3841
73.5300,45.2068,0.1598,-83.7858
-13.9655,15.6269,1.1935,-2.8198
-3.1803,-66.6580,0.7840,27.5037
-13.5026,81.0028,1.5381,-31.9751
-87.6079,-53.9384,0.4037,62.5602
-42.4890,-64.6560,1.4010,68.7756
24.6574,69.8103,1.4889,50.2422
10.1018,-85.8163,1.5057,-17.4429
-17.3177,63.6626,1.1619,-19.4230
133.5299,25.3072,0.4139,55.1425
58.3155,60.1422,1.9853,67.9205
-30.3045,89.9649,0.1464,3.5369
-5.9987,59.1752,1.8531,9.2542
26.5038,-84.7492,0.9304,18.7609
-9.8265,-53.3342,1.5292,18.2177
154.9793,8.7976,0.4914,79.7496
6.9070,-6.3129,1.7829,15.0718
-18.3126,-40.1053,1.8156,46.8441
66.2348,23.3815,1.1425,-75.3926
38.0404,-18.0356,0.7302,-7.5698
19.4235,72.8870,1.6316,80.9046
-119.2260,-21.9991,0.5604,42.6447
42.0206,74.3692,1.3438,-53.6400
-119.3694,68.2441,1.9428,82.9719
26.9296,-60.5628,1.9749,56.4080
42.5522,14.8012,0.9657,40.3074
-114.8267,-84.0393,1.9101,-74.6872
-24.3551,54.0258,0.6211,70.5919
136.9439,-11.3564,0.0257,-33.8675
-160.8293,-36.2887,0.6476,-89.4913
-104.5323,54.7349,1.0957,-68.3562
-99.1223,-46.6550,1.5886,79.0127
54.0926,-71.2068,0.8013,-85.2536
-40.2744,-3.4360,0.2892,52.7573
-19.7385,-33.2827,1.2605,82.9669
-61.9256,42.9222,0.6150,-21.2942
12.0210,51.3293,1.6014,-31.0592
-10.2702,9.6039,1.6359,26.8504
10.2126,-32.1215,1.5767,-23.4580
-14.4333,-43.3396,1.9619,-44.7630
-6.1720,64.5870,1.8300,-9.4737
-5.3654,-28.6288,1.9502,7.7541
-28.5328,-73.2124,1.1646,38.6717
-21.2328,-47.5163,1.2252,-62.4082
12.7793,62.9160,1.0490,-19.7613
-40.6544,-31.0831,1.1756,-72.6618
98.1197,-51.5837,0.3197,-37.4322
-182.0952,21.9799,0.3452,-56.6933
0.5575,-40.8519,0.6855,-0.4802
-116.5240,17.9635,0.5980,59.6288
-55.4072,-74.8671,0.3251,-59.7155
64.7812,73.4595,0.3879,-84.7331
168.0946,71.3377,0.2317,-66.8836
-9.0509,6.2643,1.7286,26.1294
51.6887,61.8469,0.6336,-11.0731
93.3820,-60.2778,0.1781,49.1706
-32.8393,77.9070,1.0358,36.5183
-83.6989,-25.0316,1.4552,66.4111
5.6629,66.5666,1.8886,6.4053
38.0551,-38.6388,0.5798,33.4345
6.5529,19.6538,1.7781,9.9311
42.7184,-39.8262,1.3013,-52.7657
-30.0914,-85.6876,1.3330,-46.3660
22.6522,37.4131,0.4596,-80.8584
-22.8990,-8.7973,0.5860,5.6800
-8.9497,1.3104,0.7566,37.6527
-100.6917,86.7654,1.0714,-83.4778
12.7752,-41.5066,1.3574,19.0336
-93.9235,83.8687,0.4410,59.9757
7.7996,-65.2748,1.6031,4.9738
-27.9126,64.7615,1.5785,51.0695
159.0282,47.5568,0.1677,-42.0750
-6.8691,1.6334,1.7528,-11.8076
-17.0486,-56.3709,1.0852,48.1009
-46.2128,-25.8355,1.9775,78.1791
-24.1430,27.9981,0.9737,-18.3814
147.2231,-30.4635,0.8895,64.3290
160.0767,-8.3501,0.3412,-55.8972
-43.4929,0.6723,1.5646,-58.6962
-59.6057,-77.0182,1.4069,-60.5583
-36.6063,49.2509,0.7769,16.5281
4.0737,-68.5020,0.8947,84.3534
39.1937,82.5084,1.0696,82.0979
38.7005,-86.8696,1.4811,54.6135
157.5034,-9.3513,0.0654,-69.6503
-6.3325,-15.5240,1.7721,-2.5752
124.8339,-57.4070,0.4502,-43.7818
15.2722,4.7461,0.1818,7.3381
-37.5312,50.6160,1.2015,-47.2251
152.7169,-54.8004,0.3573,-46.5792
-120.7001,-44.2155,1.6923,-78.0855
-102.2771,84.4133,1.4313,-77.0022
17.3810,-75.6458,0.2357,-81.2626
7.6977,3.1412,0.2979,-17.7171
8.1912,82.0822,1.2691,0.7854
9.0620,-88.9182,1.5517,-14.0939
-60.0672,78.3374,1.4522,-61.5525
