Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Theta9,Theta10,Theta11,Theta12,Theta13,Theta14,Theta15,Theta16,Theta17,Theta18,Theta19,Theta20,Theta21,Theta22,Theta23,Theta24,Theta25,Theta26,Theta27,Theta28,Theta29,Theta30,Theta31,Theta32,Theta33,Theta34,Theta35,Theta36,Theta37,Theta38,Theta39,Theta40,Theta41,Theta42,Theta43,Theta44,Theta45,Theta46,Theta47,Theta48,Theta49,Theta50,Theta51,Theta52,Theta53,Theta54,Theta55,Theta56,Theta57,Theta58,Theta59,Theta60,Theta61,Theta62,Theta63,Theta64,Theta65,Theta66,Theta67,Theta68,Theta69,Theta70
-71.615,-71.185,-70.701,-70.159,-69.558,-68.893,-68.162,-67.361,-66.487,-65.538,-64.512,-63.408,-62.227,-60.970,-59.644,-58.255,-56.814,-55.338,-53.844,-52.357,-50.903,-49.513,-48.219,-47.054,-46.051,-45.237,-44.639,-44.274,-44.155,-44.285,-44.660,-45.268,-46.090,-47.102,-48.273,-49.572,-50.965,-52.421,-53.909,-55.402,-56.878,-58.316,-59.702,-61.026,-62.279,-63.458,-64.558,-65.581,-66.527,-67.397,-68.195,-68.923,-69.585,-70.184,-70.723,-71.205,-71.633,-72.009,-72.337,-72.618,-72.854,-73.047,-73.198,-73.307,-73.377,-73.406,-73.396,-73.346,-73.256,-73.126
-75.588,-75.585,-75.579,-75.570,-75.556,-75.540,-75.519,-75.495,-75.468,-75.437,-75.403,-75.365,-75.323,-75.279,-75.230,-75.179,-75.124,-75.066,-75.004,-74.939,-74.872,-74.801,-74.727,-74.650,-74.570,-74.487,-74.402,-74.314,-74.223,-74.131,-74.035,-73.938,-73.839,-73.738,-73.635,-73.530,-73.424,-73.317,-73.209,-73.100,-72.991,-72.881,-72.771,-72.661,-72.552,-72.443,-72.335,-72.228,-72.123,-72.019,-71.918,-71.818,-71.722,-71.628,-71.537,-71.450,-71.366,-71.286,-71.211,-71.140,-71.074,-71.013,-70.957,-70.906,-70.861,-70.822,-70.789,-70.761,-70.740,-70.725
17.417,16.554,15.680,14.796,13.903,13.002,12.095,11.183,10.268,9.350,8.432,7.514,6.599,5.688,4.782,3.883,2.992,2.111,1.240,0.382,-0.462,-1.291,-2.104,-2.900,-3.677,-4.435,-5.172,-5.888,-6.582,-7.254,-7.901,-8.525,-9.123,-9.696,-10.244,-10.765,-11.259,-11.727,-12.167,-12.580,-12.965,-13.322,-13.652,-13.952,-14.225,-14.469,-14.684,-14.871,-15.029,-15.159,-15.260,-15.332,-15.375,-15.390,-15.375,-15.332,-15.260,-15.160,-15.030,-14.872,-14.685,-14.470,-14.226,-13.954,-13.653,-13.324,-12.967,-12.582,-12.169,-11.729
75.999,75.623,75.227,74.815,74.392,73.965,73.542,73.132,72.744,72.389,72.077,71.817,71.619,71.490,71.433,71.452,71.545,71.709,71.939,72.225,72.560,72.933,73.333,73.750,74.176,74.602,75.020,75.425,75.812,76.176,76.516,76.828,77.111,77.364,77.587,77.778,77.939,78.069,78.168,78.236,78.273,78.280,78.255,78.200,78.115,77.998,77.850,77.671,77.462,77.221,76.951,76.651,76.323,75.969,75.591,75.193,74.780,74.356,73.929,73.507,73.099,72.713,72.361,72.053,71.798,71.606,71.482,71.432,71.457,71.556
-88.023,-88.023,-88.024,-88.024,-88.024,-88.025,-88.025,-88.026,-88.026,-88.026,-88.027,-88.027,-88.027,-88.028,-88.028,-88.029,-88.029,-88.029,-88.030,-88.030,-88.031,-88.031,-88.031,-88.032,-88.032,-88.032,-88.033,-88.033,-88.033,-88.034,-88.034,-88.034,-88.035,-88.035,-88.035,-88.035,-88.036,-88.036,-88.036,-88.036,-88.037,-88.037,-88.037,-88.037,-88.037,-88.037,-88.037,-88.037,-88.038,-88.038,-88.038,-88.038,-88.038,-88.038,-88.038,-88.038,-88.037,-88.037,-88.037,-88.037,-88.037,-88.037,-88.037,-88.037,-88.036,-88.036,-88.036,-88.036,-88.036,-88.035
-29.939,-30.187,-30.444,-30.711,-30.986,-31.270,-31.562,-31.860,-32.166,-32.478,-32.796,-33.120,-33.448,-33.780,-34.116,-34.456,-34.798,-35.143,-35.489,-35.837,-36.186,-36.535,-36.883,-37.232,-37.579,-37.926,-38.270,-38.612,-38.952,-39.289,-39.622,-39.952,-40.278,-40.600,-40.918,-41.230,-41.538,-41.840,-42.137,-42.428,-42.713,-42.992,-43.265,-43.531,-43.791,-44.044,-44.290,-44.528,-44.760,-44.984,-45.201,-45.411,-45.612,-45.807,-45.993,-46.172,-46.343,-46.506,-46.661,-46.808,-46.947,-47.078,-47.201,-47.315,-47.422,-47.521,-47.611,-47.693,-47.767,-47.833
-1.239,-0.544,0.184,0.942,1.728,2.540,3.375,4.231,5.104,5.993,6.894,7.805,8.722,9.642,10.564,11.483,12.397,13.304,14.200,15.083,15.951,16.802,17.632,18.441,19.226,19.986,20.719,21.423,22.098,22.742,23.354,23.933,24.479,24.991,25.467,25.909,26.314,26.684,27.017,27.314,27.573,27.796,27.981,28.130,28.241,28.314,28.350,28.349,28.310,28.234,28.120,27.969,27.781,27.556,27.294,26.994,26.659,26.286,25.878,25.434,24.955,24.441,23.892,23.311,22.696,22.050,21.373,20.667,19.932,19.170
-56.748,-56.812,-56.879,-56.946,-57.014,-57.084,-57.154,-57.226,-57.298,-57.371,-57.445,-57.520,-57.596,-57.673,-57.750,-57.828,-57.906,-57.985,-58.065,-58.145,-58.226,-58.307,-58.388,-58.470,-58.553,-58.635,-58.718,-58.801,-58.884,-58.967,-59.051,-59.134,-59.218,-59.302,-59.385,-59.469,-59.552,-59.636,-59.719,-59.802,-59.885,-59.967,-60.050,-60.132,-60.214,-60.295,-60.376,-60.457,-60.537,-60.617,-60.696,-60.775,-60.853,-60.931,-61.008,-61.084,-61.160,-61.236,-61.310,-61.384,-61.458,-61.530,-61.602,-61.673,-61.744,-61.813,-61.882,-61.950,-62.017,-62.084
88.770,88.770,88.770,88.770,88.770,88.770,88.770,88.770,88.770,88.770,88.770,88.770,88.770,88.770,88.770,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.769,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768,88.768
-25.671,-25.056,-24.538,-24.123,-23.814,-23.616,-23.531,-23.559,-23.700,-23.953,-24.315,-24.782,-25.348,-26.008,-26.754,-27.578,-28.472,-29.426,-30.429,-31.474,-32.548,-33.643,-34.749,-35.857,-36.958,-38.045,-39.111,-40.149,-41.153,-42.119,-43.044,-43.923,-44.754,-45.534,-46.263,-46.939,-47.560,-48.128,-48.640,-49.097,-49.500,-49.848,-50.140,-50.379,-50.563,-50.692,-50.767,-50.789,-50.756,-50.669,-50.528,-50.333,-50.083,-49.779,-49.420,-49.005,-48.536,-48.012,-47.434,-46.800,-46.113,-45.374,-44.582,-43.741,-42.852,-41.919,-40.944,-39.932,-38.888,-37.817
79.324,79.113,78.829,78.465,78.016,77.471,76.822,76.055,75.159,74.118,72.921,71.554,70.013,68.302,66.440,64.469,62.461,60.517,58.769,57.358,56.418,56.047,56.286,57.108,58.426,60.113,62.025,64.029,66.015,67.906,69.653,71.232,72.636,73.870,74.944,75.871,76.664,77.338,77.905,78.375,78.756,79.057,79.284,79.440,79.530,79.553,79.512,79.405,79.230,78.984,78.661,78.257,77.762,77.167,76.462,75.634,74.669,73.553,72.274,70.822,69.196,67.407,65.485,63.485,61.494,59.629,58.028,56.832,56.161,56.088
29.160,28.757,28.347,27.929,27.504,27.073,26.636,26.193,25.746,25.293,24.837,24.377,23.914,23.449,22.982,22.514,22.046,21.577,21.109,20.642,20.177,19.715,19.257,18.802,18.352,17.907,17.468,17.036,16.611,16.194,15.786,15.387,14.998,14.619,14.251,13.895,13.551,13.219,12.901,12.597,12.306,12.030,11.770,11.524,11.295,11.082,10.885,10.704,10.541,10.396,10.267,10.157,10.064,9.989,9.932,9.894,9.874,9.872,9.888,9.923,9.975,10.046,10.135,10.242,10.367,10.509,10.668,10.845,11.038,11.248
-65.482,-65.482,-65.482,-65.482,-65.483,-65.483,-65.483,-65.483,-65.483,-65.484,-65.484,-65.484,-65.484,-65.484,-65.485,-65.485,-65.485,-65.485,-65.485,-65.486,-65.486,-65.486,-65.486,-65.486,-65.487,-65.487,-65.487,-65.487,-65.487,-65.488,-65.488,-65.488,-65.488,-65.488,-65.489,-65.489,-65.489,-65.489,-65.489,-65.490,-65.490,-65.490,-65.490,-65.490,-65.491,-65.491,-65.491,-65.491,-65.491,-65.492,-65.492,-65.492,-65.492,-65.492,-65.493,-65.493,-65.493,-65.493,-65.493,-65.494,-65.494,-65.494,-65.494,-65.494,-65.495,-65.495,-65.495,-65.495,-65.496,-65.496
-59.391,-58.456,-57.397,-56.224,-54.949,-53.592,-52.179,-50.745,-49.329,-47.980,-46.749,-45.688,-44.846,-44.262,-43.968,-43.978,-44.292,-44.893,-45.752,-46.825,-48.066,-49.420,-50.838,-52.273,-53.683,-55.035,-56.304,-57.470,-58.521,-59.448,-60.247,-60.916,-61.455,-61.863,-62.142,-62.292,-62.315,-62.209,-61.975,-61.612,-61.119,-60.496,-59.742,-58.859,-57.851,-56.723,-55.489,-54.163,-52.770,-51.340,-49.911,-48.528,-47.242,-46.104,-45.166,-44.471,-44.054,-43.937,-44.126,-44.611,-45.367,-46.357,-47.534,-48.848,-50.246,-51.679,-53.103,-54.483,-55.789,-57.000
5.384,6.267,7.133,7.977,8.796,9.587,10.346,11.069,11.755,12.400,13.002,13.559,14.069,14.530,14.940,15.300,15.606,15.859,16.058,16.203,16.292,16.325,16.304,16.226,16.094,15.907,15.665,15.370,15.022,14.622,14.172,13.673,13.126,12.533,11.897,11.220,10.504,9.753,8.969,8.155,7.316,6.455,5.575,4.682,3.779,2.871,1.961,1.055,0.157,-0.729,-1.599,-2.448,-3.272,-4.068,-4.831,-5.560,-6.249,-6.897,-7.501,-8.058,-8.566,-9.024,-9.429,-9.780,-10.077,-10.317,-10.500,-10.626,-10.694,-10.704
-72.450,-71.611,-70.678,-69.666,-68.599,-67.514,-66.457,-65.487,-64.666,-64.055,-63.705,-63.647,-63.886,-64.401,-65.148,-66.068,-67.099,-68.179,-69.258,-70.295,-71.261,-72.138,-72.914,-73.586,-74.151,-74.612,-74.969,-75.226,-75.385,-75.447,-75.412,-75.281,-75.052,-74.723,-74.291,-73.756,-73.114,-72.367,-71.517,-70.575,-69.556,-68.485,-67.400,-66.350,-65.392,-64.590,-64.005,-63.685,-63.659,-63.928,-64.470,-65.238,-66.173,-67.211,-68.294,-69.370,-70.400,-71.358,-72.224,-72.990,-73.650,-74.205,-74.654,-75.001,-75.248,-75.396,-75.448,-75.403,-75.261,-75.022
-6.785,-6.782,-6.779,-6.776,-6.773,-6.770,-6.767,-6.764,-6.761,-6.758,-6.755,-6.752,-6.749,-6.746,-6.743,-6.740,-6.737,-6.734,-6.732,-6.729,-6.726,-6.723,-6.720,-6.717,-6.714,-6.711,-6.708,-6.705,-6.702,-6.699,-6.697,-6.694,-6.691,-6.688,-6.685,-6.682,-6.679,-6.677,-6.674,-6.671,-6.668,-6.665,-6.663,-6.660,-6.657,-6.654,-6.651,-6.649,-6.646,-6.643,-6.640,-6.638,-6.635,-6.632,-6.629,-6.627,-6.624,-6.621,-6.619,-6.616,-6.613,-6.611,-6.608,-6.605,-6.603,-6.600,-6.597,-6.595,-6.592,-6.589
-54.252,-55.917,-57.615,-59.294,-60.913,-62.441,-63.859,-65.156,-66.327,-67.372,-68.293,-69.095,-69.783,-70.364,-70.842,-71.221,-71.507,-71.701,-71.807,-71.825,-71.756,-71.599,-71.352,-71.012,-70.576,-70.039,-69.397,-68.643,-67.772,-66.780,-65.662,-64.418,-63.049,-61.565,-59.982,-58.324,-56.628,-54.942,-53.325,-51.844,-50.570,-49.570,-48.900,-48.602,-48.693,-49.169,-49.998,-51.134,-52.514,-54.067,-55.724,-57.421,-59.105,-60.732,-62.272,-63.703,-65.014,-66.200,-67.259,-68.194,-69.009,-69.710,-70.303,-70.792,-71.183,-71.479,-71.684,-71.799,-71.828,-71.769
-30.364,-29.304,-28.262,-27.271,-26.364,-25.571,-24.921,-24.438,-24.139,-24.035,-24.130,-24.421,-24.897,-25.540,-26.327,-27.230,-28.218,-29.259,-30.319,-31.367,-32.373,-33.313,-34.162,-34.902,-35.518,-35.997,-36.332,-36.515,-36.545,-36.421,-36.145,-35.721,-35.156,-34.463,-33.654,-32.747,-31.764,-30.728,-29.669,-28.618,-27.605,-26.666,-25.830,-25.128,-24.585,-24.221,-24.049,-24.075,-24.299,-24.713,-25.301,-26.041,-26.907,-27.869,-28.895,-29.952,-31.008,-32.032,-32.997,-33.880,-34.660,-35.320,-35.847,-36.233,-36.469,-36.552,-36.481,-36.257,-35.883,-35.367
-52.691,-52.631,-52.554,-52.459,-52.349,-52.224,-52.086,-51.936,-51.776,-51.608,-51.434,-51.257,-51.079,-50.901,-50.727,-50.559,-50.400,-50.251,-50.115,-49.994,-49.890,-49.804,-49.738,-49.692,-49.669,-49.667,-49.687,-49.728,-49.791,-49.873,-49.975,-50.093,-50.226,-50.373,-50.531,-50.698,-50.871,-51.048,-51.226,-51.404,-51.578,-51.747,-51.908,-52.060,-52.201,-52.328,-52.441,-52.539,-52.619,-52.682,-52.726,-52.752,-52.758,-52.745,-52.713,-52.663,-52.594,-52.508,-52.405,-52.287,-52.155,-52.010,-51.855,-51.691,-51.520,-51.344,-51.166,-50.988,-50.812,-50.641
77.835,77.836,77.836,77.837,77.838,77.839,77.839,77.840,77.841,77.842,77.842,77.843,77.844,77.845,77.845,77.846,77.847,77.847,77.848,77.849,77.849,77.850,77.851,77.851,77.852,77.853,77.853,77.854,77.855,77.855,77.856,77.857,77.857,77.858,77.859,77.859,77.860,77.860,77.861,77.862,77.862,77.863,77.863,77.864,77.864,77.865,77.865,77.866,77.867,77.867,77.868,77.868,77.869,77.869,77.870,77.870,77.870,77.871,77.871,77.872,77.872,77.873,77.873,77.874,77.874,77.874,77.875,77.875,77.876,77.876
-78.175,-78.894,-79.537,-80.106,-80.604,-81.037,-81.409,-81.725,-81.988,-82.203,-82.372,-82.498,-82.583,-82.628,-82.634,-82.600,-82.527,-82.412,-82.256,-82.054,-81.805,-81.505,-81.149,-80.734,-80.255,-79.707,-79.085,-78.388,-77.615,-76.768,-75.858,-74.902,-73.925,-72.966,-72.074,-71.302,-70.708,-70.341,-70.235,-70.398,-70.817,-71.453,-72.255,-73.167,-74.133,-75.108,-76.057,-76.954,-77.785,-78.543,-79.224,-79.829,-80.363,-80.828,-81.230,-81.573,-81.862,-82.101,-82.293,-82.440,-82.546,-82.610,-82.636,-82.622,-82.568,-82.475,-82.340,-82.161,-81.936,-81.662
-31.299,-30.232,-29.236,-28.347,-27.598,-27.019,-26.633,-26.455,-26.494,-26.746,-27.203,-27.846,-28.648,-29.579,-30.604,-31.687,-32.790,-33.878,-34.920,-35.887,-36.755,-37.503,-38.117,-38.585,-38.897,-39.049,-39.038,-38.864,-38.531,-38.043,-37.411,-36.645,-35.763,-34.785,-33.735,-32.642,-31.540,-30.463,-29.448,-28.532,-27.750,-27.131,-26.700,-26.476,-26.466,-26.673,-27.086,-27.689,-28.459,-29.364,-30.372,-31.445,-32.547,-33.641,-34.696,-35.682,-36.573,-37.349,-37.994,-38.495,-38.842,-39.029,-39.054,-38.917,-38.618,-38.164,-37.562,-36.825,-35.967,-35.007
48.838,48.576,48.699,49.200,50.045,51.180,52.536,54.040,55.619,57.211,58.763,60.233,61.595,62.829,63.925,64.880,65.692,66.364,66.898,67.298,67.567,67.707,67.719,67.603,67.358,66.983,66.474,65.828,65.042,64.114,63.044,61.835,60.496,59.044,57.505,55.917,54.330,52.807,51.418,50.237,49.333,48.764,48.569,48.760,49.325,50.226,51.405,52.792,54.314,55.900,57.489,59.028,60.481,61.821,63.032,64.103,65.033,65.820,66.468,66.978,67.355,67.601,67.718,67.707,67.569,67.302,66.903,66.370,65.700,64.889
41.488,41.498,41.454,41.357,41.205,41.000,40.741,40.428,40.063,39.644,39.172,38.649,38.075,37.451,36.778,36.057,35.292,34.483,33.634,32.748,31.828,30.879,29.905,28.911,27.902,26.885,25.866,24.851,23.848,22.863,21.904,20.978,20.092,19.253,18.467,17.740,17.080,16.490,15.975,15.540,15.187,14.921,14.742,14.653,14.653,14.743,14.923,15.190,15.543,15.979,16.495,17.085,17.747,18.473,19.260,20.100,20.986,21.913,22.872,23.857,24.860,25.875,26.894,27.911,28.920,29.914,30.888,31.837,32.756,33.642
-58.674,-58.629,-58.623,-58.658,-58.731,-58.843,-58.991,-59.174,-59.388,-59.632,-59.901,-60.193,-60.504,-60.830,-61.168,-61.514,-61.865,-62.217,-62.568,-62.915,-63.254,-63.584,-63.903,-64.208,-64.499,-64.772,-65.028,-65.265,-65.481,-65.678,-65.852,-66.005,-66.136,-66.244,-66.329,-66.391,-66.430,-66.445,-66.436,-66.405,-66.350,-66.272,-66.171,-66.047,-65.900,-65.732,-65.542,-65.331,-65.100,-64.850,-64.582,-64.296,-63.995,-63.680,-63.353,-63.016,-62.672,-62.322,-61.969,-61.618,-61.270,-60.929,-60.599,-60.283,-59.986,-59.709,-59.458,-59.234,-59.042,-58.883
-15.120,-15.120,-15.120,-15.119,-15.119,-15.119,-15.119,-15.118,-15.118,-15.118,-15.117,-15.117,-15.117,-15.117,-15.116,-15.116,-15.116,-15.116,-15.115,-15.115,-15.115,-15.114,-15.114,-15.114,-15.114,-15.113,-15.113,-15.113,-15.112,-15.112,-15.112,-15.112,-15.111,-15.111,-15.111,-15.111,-15.110,-15.110,-15.110,-15.109,-15.109,-15.109,-15.109,-15.108,-15.108,-15.108,-15.107,-15.107,-15.107,-15.107,-15.106,-15.106,-15.106,-15.105,-15.105,-15.105,-15.105,-15.104,-15.104,-15.104,-15.103,-15.103,-15.103,-15.102,-15.102,-15.102,-15.102,-15.101,-15.101,-15.101
8.645,8.057,7.581,7.226,7.002,6.911,6.957,7.138,7.451,7.888,8.441,9.098,9.844,10.663,11.538,12.451,13.382,14.313,15.225,16.100,16.922,17.675,18.347,18.925,19.401,19.767,20.017,20.147,20.155,20.042,19.808,19.458,18.997,18.432,17.772,17.030,16.216,15.348,14.440,13.510,12.578,11.661,10.780,9.952,9.195,8.525,7.958,7.504,7.174,6.974,6.909,6.981,7.188,7.525,7.985,8.559,9.233,9.994,10.826,11.710,12.627,13.560,14.489,15.395,16.261,17.071,17.810,18.464,19.024,19.480
77.910,77.880,77.848,77.814,77.779,77.741,77.703,77.662,77.620,77.577,77.532,77.485,77.438,77.389,77.339,77.287,77.235,77.182,77.128,77.073,77.017,76.961,76.904,76.847,76.789,76.731,76.673,76.615,76.557,76.500,76.442,76.386,76.329,76.274,76.219,76.166,76.113,76.062,76.012,75.963,75.916,75.871,75.828,75.786,75.747,75.710,75.675,75.643,75.613,75.586,75.561,75.539,75.520,75.503,75.490,75.479,75.472,75.467,75.466,75.467,75.472,75.479,75.490,75.503,75.519,75.538,75.560,75.585,75.612,75.642
