Model, Buckling, Stiffness 
sample1, 18065.4, 6807812.096
sample2, -22731.8, 2609794.56
sample3, -18647.4, 4156273.152
sample4, -20191.1, 5115148.288
sample5, -16820.4, 5806592.512
sample6, -19383.5, 4143617.024
sample7, 26158.9, 2745642.752
sample8, 24710.7, 8338964.992
sample9, 28142.9, 5341172.736
sample10, -24363.9, 7061520.384
sample11, -17351.9, 5255492.096
sample12, 23880.8, 3333820.928
sample13, 19505.5, 5808215.552
sample14, 17139.7, 8132412.928
sample15, 16465.2, 2492245.248
sample16, -23653.6, 4986760.192
sample17, 19707.5, 9159539.712
sample18, 13300.5, 2399476.48
sample19, 20031.9, 9919529.984
sample20, 17938.4, 4122732.544
sample21, -31011.7, 3591616.512
sample22, -12906.3, 4851815.424
sample23, 23273.2, 7270070.784
sample24, -25277.2, 8171776.512
sample25, -23847.2, 8352502.272
sample26, 32923.0, 7598139.904
sample27, -31647.7, 5445934.08
sample28, 25898.1, 2950639.104
sample29, -17225.9, 9781312.512
sample30, 30627.6, 4631228.928
sample31, -23160.9, 3291503.104
sample32, -12961.0, 4119064.832
sample33, -22970.8, 8525654.528
sample34, 25415.6, 5488078.336
sample35, -15059.4, 3967903.488
sample36, 25350.0, 10930938.88
sample37, -21654.0, 4429002.24
sample38, 27885.0, 7477564.416
sample39, 26997.6, 4613190.144
sample40, 20065.8, 4574683.648
sample41, 14355.4, 5113284.608
sample42, 23954.8, 2832413.696
sample43, 14384.8, 4269518.848
sample44, -25608.3, 7062538.24
sample45, -20420.6, 3734861.312
sample46, -17959.4, 7554054.656
sample47, -30127.1, 8274446.336
sample48, -31583.6, 4327058.432
sample49, -16196.3, 3501336.064
sample50, 15177.3, 5164358.656
sample51, 16361.9, 8240648.704
sample52, 19445.4, 6297288.192
sample53, -20987.4, 6652215.808
sample54, 16187.2, 6001261.568
sample55, -24382.3, 2931862.784
sample56, 19737.2, 6101125.632
sample57, -11526.2, 3629140.992
sample58, -15799.5, 4631958.016
sample59, -24238.8, 9039742.976
sample60, 24528.6, 3886844.672
sample61, 24967.5, 8661378.048
sample62, 25001.4, 4683271.168
sample63, 31922.8, 4015600.384
sample64, -17542.5, 5006692.864
sample65, 23906.6, 3003308.288
sample66, -16894.6, 8905414.656
sample67, -15491.6, 3536946.176
sample68, -28152.2, 6241718.272
sample69, 13839.0, 1994407.808
sample70, 19650.9, 5919862.784
sample71, -19480.8, 4918761.984
sample72, -30245.1, 5352992.768
sample73, -19261.9, 5320846.336
sample74, 18289.2, 7261385.728
sample75, 17049.1, 4667762.688
sample76, 20774.7, 5688937.984
sample77, -22518.9, 5861001.728
sample78, -23741.2, 3149065.216
sample79, 15710.7, 3203483.392
sample80, 22005.8, 2976009.984
sample81, 19252.9, 3007180.288
sample82, 16090.7, 9363837.952
sample83, -20728.0, 3781648.128
sample84, 22907.2, 5475263.488
sample85, -23205.9, 6257984.512
sample86, -25524.9, 2795453.696
sample87, -22230.8, 5453063.68
sample88, -26767.0, 3261357.568
sample89, -20914.5, 6327972.352
sample90, -22355.5, 3572687.104
sample91, 16466.4, 4584431.104
sample92, -15929.0, 6352508.416
sample93, 16784.0, 3857138.176
sample94, 20871.4, 7074111.488
sample95, -18758.1, 4555857.408
sample96, 13894.9, 4775593.984
sample97, 19004.6, 8022107.648
sample98, -14764.4, 5073656.32
sample99, -21819.5, 3412130.304
sample100, 32065.9, 6020799.488
sample101, -13655.6, 6687360.0
sample102, -26442.6, 4857644.032
sample103, -16513.0, 3828782.336
sample104, 18456.0, 5933715.456
sample105, -23814.6, 7360325.12
sample106, -13529.6, 3070387.712
sample107, -25740.4, 3197220.096
sample108, 21617.6, 3277227.776
sample109, 20041.9, 4835137.024
sample110, 14054.1, 3911085.824
sample111, -24688.7, 6059396.096
sample112, 26164.4, 4749595.136
sample113, 18437.6, 5763969.024
sample114, 18871.5, 4417842.688
sample115, -21352.8, 2960174.336
sample116, 25568.8, 4047650.816
sample117, -29229.1, 7364941.312
sample118, -14478.8, 2944698.624
sample119, 21936.8, 4187006.208
sample120, 26107.2, 6450807.296
sample121, -19396.2, 5977481.216
sample122, -29144.2, 5536001.024
sample123, 18468.5, 7346548.736
sample124, 20208.7, 7383437.312
sample125, 21438.0, 7907596.288
sample126, -15787.4, 6225431.04
sample127, 12454.0, 3728924.16
sample128, -24626.3, 6873122.304
sample129, 23031.2, 9204969.472
sample130, -26076.5, 8725556.224
sample131, -27671.1, 3162864.384
sample132, -19267.5, 6975075.328
sample133, -20243.2, 3617482.752
sample134, -24591.7, 6762097.152
sample135, 26125.2, 5400345.088
sample136, 21227.2, 4386491.904
sample137, 22688.5, 3798998.528
sample138, 31941.4, 3428179.456
sample139, 13722.4, 3728990.464
sample140, 22624.3, 6862337.024
sample141, -23076.7, 3536270.336
sample142, -13492.5, 6662709.248
sample143, 17563.1, 4440077.312
sample144, 25630.5, 3381849.6
sample145, 25661.6, 10090708.992
sample146, 24265.1, 4045528.576
sample147, 22290.2, 8412278.784
sample148, -30296.0, 6222094.848
sample149, 27364.4, 7095667.712
sample150, -17881.3, 5696266.752
sample151, 23930.6, 7547933.696
sample152, -20923.3, 7715389.44
sample153, 32093.0, 6593367.552
sample154, -18655.4, 5044738.56
sample155, -20649.7, 7766607.36
sample156, -18545.3, 3205767.168
sample157, -22411.2, 4444243.968
sample158, 24703.3, 4698247.68
sample159, -24704.5, 4217513.216
sample160, 17639.3, 7828877.824
sample161, 26195.1, 3000167.168
sample162, 11002.7, 2910052.864
sample163, -19003.6, 4925914.624
sample164, 15236.8, 7790233.088
sample165, 15531.3, 8891995.136
sample166, -17543.6, 8440982.528
sample167, 20048.2, 8137809.92
sample168, -13559.9, 5082652.16
sample169, -21707.2, 7125236.224
sample170, 24279.5, 6581605.888
sample171, -20058.3, 7124190.208
sample172, 22605.7, 5821871.104
sample173, 23323.8, 4751256.064
sample174, 20016.3, 2909418.24
sample175, -25639.9, 4683904.512
sample176, 17838.6, 7173228.032
sample177, 22127.6, 4475825.152
sample178, 20793.6, 3472538.624
sample179, -30791.2, 4795815.424
sample180, -16594.8, 2718858.24
sample181, -27013.2, 2600373.76
sample182, -27278.5, 4591622.144
sample183, 27979.4, 6899220.992
sample184, 34243.2, 6788911.616
sample185, 32774.5, 4772290.56
sample186, -13206.2, 3805538.048
sample187, 18005.9, 4451422.72
sample188, -30058.4, 6841647.616
sample189, 24280.0, 3352644.608
sample190, -22991.0, 6171135.488
sample191, 18295.9, 5481640.96
sample192, 14854.1, 4980965.888
sample193, 28909.2, 4915759.616
sample194, -26229.2, 1804365.696
sample195, 17875.2, 2983351.04
sample196, -14503.5, 6109515.776
sample197, 22466.0, 4494874.624
sample198, 26495.0, 3457240.32
sample199, 16843.9, 3197581.312
sample200, -14091.7, 6765371.392
sample201, -12536.8, 4500358.656
sample202, 29041.4, 4714514.944
sample203, 13873.9, 3260673.28
sample204, -20588.1, 5033193.984
sample205, 25411.9, 2160982.016
sample206, 15674.1, 7921802.752
sample207, 22363.5, 4978423.808
sample208, 28058.5, 3461161.728
sample209, 15008.9, 4809062.912
sample210, -23288.2, 7652268.032
sample211, -24263.1, 4153900.544
sample212, -18325.4, 6927287.808
sample213, -19166.9, 7231371.264
sample214, -25948.1, 4052239.616
sample215, 18725.8, 8169145.856
sample216, 12677.2, 3201962.752
sample217, -25371.5, 4045629.184
sample218, -32964.0, 6494333.952
sample219, 13367.6, 2485959.424
sample220, -25583.8, 5826766.848
sample221, 21869.3, 7709677.568
sample222, -18419.6, 2561255.68
sample223, 19045.7, 3210179.328
