Model, Buckling, Stiffness 
sample1, 17051.0, 4229413.888
sample2, 17570.0, 11586432.0
sample3, 14944.9, 7129481.728
sample4, 24258.3, 7191347.712
sample5, 20888.6, 7531470.336
sample6, 11186.2, 2864940.032
sample7, -19158.8, 8638566.4
sample8, -19955.0, 10698514.432
sample9, 14590.2, 4729091.584
sample10, 19855.4, 5588705.28
sample11, -15552.2, 7353042.432
sample12, 22492.0, 9696333.824
sample13, 27951.9, 9641822.208
sample14, -29393.2, 10195262.464
sample15, 31050.2, 2929811.456
sample16, 32652.2, 8221019.648
sample17, -32910.6, 4193853.952
sample18, -31721.1, 9269957.632
sample19, -16382.7, 10863480.832
sample20, -21938.6, 7196146.176
sample21, 20986.1, 11191322.624
sample22, 18049.0, 3968820.48
sample23, 31895.6, 8603681.792
sample24, -23090.9, 7101220.352
sample25, -14127.0, 8387051.52
sample26, -25644.2, 7026661.888
sample27, -29691.6, 10236772.352
sample28, 16766.7, 6975052.8
sample29, 24702.7, 11337308.16
sample30, 22020.8, 7970232.32
sample31, 36776.6, 4548961.792
sample32, -35837.2, 6493906.432
sample33, -16568.3, 6398755.84
sample34, -16201.7, 2883220.992
sample35, -31546.1, 3266007.552
sample36, -23389.8, 4665848.832
sample37, -18448.2, 4359531.008
sample38, 23388.8, 7239321.6
sample39, 20135.2, 6806978.048
sample40, -32729.3, 6103644.672
sample41, -15039.6, 6499635.712
sample42, 25036.8, 11167599.616
sample43, 22667.9, 6286585.856
sample44, 30897.4, 9935220.736
sample45, 27026.8, 5442441.728
sample46, -29694.7, 2126263.936
sample47, -22577.5, 2459876.864
sample48, 31852.3, 9706278.912
sample49, 10769.4, 2722075.648
sample50, 21576.0, 11940427.776
sample51, 22509.4, 7471382.528
sample52, 16828.6, 5601350.144
sample53, 22339.7, 9451468.8
sample54, 15990.5, 6267707.392
sample55, 22204.1, 6695033.856
sample56, 18015.9, 12390165.504
sample57, 16996.9, 6715837.952
sample58, 13767.3, 7043440.128
sample59, -23521.6, 8599032.832
sample60, -21115.2, 10452088.832
sample61, -30698.5, 7866824.192
sample62, -15353.7, 7517554.688
sample63, 25886.1, 9313591.296
sample64, -16883.4, 7243706.88
sample65, -15764.0, 8143868.416
sample66, 30509.6, 2311180.032
sample67, -20493.6, 6750296.064
sample68, 11162.3, 3103218.688
sample69, 13919.1, 6428075.52
sample70, 22841.5, 4019686.656
sample71, -26177.3, 10767909.888
sample72, 34568.9, 7289580.032
sample73, 14900.6, 4966171.136
sample74, -18634.4, 6617029.12
sample75, 21845.2, 3955351.552
sample76, -20138.7, 11067840.512
sample77, -15838.4, 3860001.024
sample78, -20178.3, 7787810.304
sample79, 18857.2, 9840633.856
sample80, 18905.2, 9247043.584
sample81, -22241.3, 10112789.504
sample82, -16072.2, 6365706.24
sample83, -20356.3, 5731139.584
sample84, -22642.2, 6847273.472
sample85, -21892.9, 7333646.336
sample86, 20055.6, 8747067.392
sample87, -18791.8, 9509146.624
sample88, 13404.1, 6514685.952
sample89, -23023.2, 3986557.184
sample90, 16711.4, 3884178.944
sample91, 18941.2, 10379415.552
sample92, -23251.0, 3487851.776
sample93, 19488.8, 6902442.496
sample94, 22530.4, 4124388.096
sample95, -23274.6, 7184982.016
sample96, -18173.4, 3793056.768
sample97, -21386.8, 5605515.776
sample98, -16524.8, 8749730.816
sample99, -22251.0, 11642588.16
sample100, -26336.2, 9559157.76
sample101, -26391.5, 4349019.136
sample102, 30847.4, 9846511.616
sample103, 20861.4, 7369096.192
sample104, 21387.1, 9200144.384
sample105, -16987.0, 11409425.408
sample106, -20024.2, 12319154.176
sample107, -35203.3, 7005490.688
sample108, 29267.8, 2085528.832
sample109, -24521.6, 11508373.504
sample110, 16853.7, 10603889.664
sample111, -21572.7, 6692182.528
sample112, 25037.3, 8058824.704
sample113, -24499.0, 11742218.24
sample114, -22289.8, 6611307.52
sample115, 26763.5, 6528832.512
sample116, 21342.5, 8681447.424
sample117, 21725.8, 10837427.2
sample118, -15014.5, 6210199.552
sample119, -22673.1, 6324731.392
sample120, -19124.5, 7177559.04
sample121, -21426.2, 8217405.952
sample122, 24142.5, 6024018.944
sample123, -28448.4, 6952570.368
sample124, -24951.0, 4847465.984
sample125, 25022.0, 6552071.168
sample126, 12943.2, 6066800.64
sample127, 15855.1, 5156416.0
sample128, 31875.4, 3195952.128
sample129, 12873.1, 4897047.552
sample130, -24183.6, 11044737.024
sample131, -31903.0, 8916179.968
sample132, -21377.6, 10540229.632
sample133, 22264.7, 6984485.376
sample134, 28746.7, 8910721.024
sample135, -29004.0, 9971113.984
sample136, 21762.7, 1569816.192
sample137, -18449.2, 11315267.584
sample138, -32226.3, 7756801.024
sample139, -17243.5, 10353736.704
sample140, -22514.9, 4386758.144
sample141, 20000.9, 5879249.92
sample142, -19638.6, 10537455.616
sample143, 14576.9, 2842372.864
sample144, -17339.4, 9999032.32
sample145, -33368.9, 7917086.208
sample146, -20504.1, 11940907.008
sample147, -19238.1, 9375604.736
sample148, 27003.2, 8459071.488
sample149, 17346.9, 11776064.512
sample150, 17119.4, 4466745.344
sample151, 15846.9, 5636156.416
sample152, 28493.4, 9621832.704
sample153, 30716.6, 5447031.296
sample154, 16928.1, 5498159.616
sample155, 25065.9, 3807097.6
sample156, -18931.0, 7743284.736
sample157, 18528.2, 8814893.056
sample158, -16134.3, 9389815.808
sample159, 22397.5, 8241948.672
sample160, 12727.0, 5323185.664
sample161, 18876.8, 9323611.136
sample162, -12090.2, 3082502.656
sample163, -15069.1, 3187620.864
sample164, 14264.5, 5185038.336
sample165, 25363.9, 9447149.568
sample166, -21520.5, 8009259.52
sample167, 19216.8, 11974689.792
sample168, -21339.5, 9655919.616
sample169, 26008.0, 11024753.664
sample170, 22529.9, 3356924.672
