Amplitude,PhaseShift,Omega,Beta
-15.4684,63.9514,1.2435,20.3701
192.0316,57.6704,0.1310,32.8745
-15.7870,71.3002,1.2502,21.9600
-59.5747,36.7686,0.7221,34.0301
-31.6940,10.2161,0.4034,39.4502
-40.3276,-44.5531,0.7110,8.4190
10.4585,-84.1513,1.7244,-31.3026
-27.8195,8.4262,1.4720,-48.5876
39.9584,81.4673,0.8366,29.0810
-13.4118,36.6867,1.4488,27.7428
-7.8217,32.0647,0.7680,14.5175
83.8436,-49.5080,1.0151,57.7160
15.5388,17.0875,1.0632,53.3664
93.6120,33.4506,0.0324,-64.8426
168.7395,-64.9533,1.8951,78.3711
-116.8952,45.4531,0.3867,73.5127
126.2801,-69.5231,0.0859,-70.4348
86.4475,88.9539,0.4317,-54.9061
-5.5711,32.4556,0.1153,-27.8121
-48.7636,-39.4063,0.1273,-44.0245
-72.1489,76.6925,0.5831,24.3431
133.7783,37.6842,0.3009,24.4871
-99.8163,-54.8560,1.0211,61.2020
26.8002,-85.7122,1.7349,-52.6765
174.5922,6.0028,0.1795,-26.4864
-111.9068,37.3835,0.3660,-47.9607
-58.4878,26.0730,1.3299,-61.7771
-13.5581,-31.7422,1.2934,17.5007
154.5247,66.7146,0.3799,57.3379
-12.9549,-88.3059,1.6660,34.9795
-76.7937,59.2242,1.1213,85.7370
-60.0906,-14.8219,1.7986,88.5217
24.4911,77.0814,0.6405,-21.7174
-112.5862,18.0643,0.4092,-19.6269
-148.1052,-62.1752,0.8356,-74.0790
107.1374,-5.4992,1.2560,-66.8949
8.3527,46.2745,1.7295,-21.8314
12.6131,38.3388,1.0837,42.3787
12.5297,-11.9775,1.6595,34.1175
-138.5530,66.5663,0.0707,-63.0738
-6.2370,-38.8829,1.8914,-15.3616
148.6980,-87.0361,0.3491,34.4424
0.3861,20.4419,0.0570,58.5399
-26.9519,-3.4679,0.1380,63.9019
18.9879,-63.7905,1.9006,87.2890
27.0305,48.2814,0.1103,-84.7367
147.7468,72.3351,0.6296,-82.2107
-25.7594,13.1615,0.9239,60.1176
-9.4853,33.8238,1.0134,2.3792
-27.0882,29.1119,1.2360,40.4329
-24.4037,-5.9998,1.5139,46.5503
7.5567,31.8814,1.9403,27.0769
48.3945,-18.0325,1.7722,62.9067
-8.2863,54.3030,1.7648,24.0678
56.5505,-71.1757,0.8808,54.8288
31.8656,-77.6619,0.2479,36.3203
21.4573,-15.6428,0.9861,-11.0517
-36.6562,-24.4249,0.7486,9.5052
33.3735,-35.4151,1.4238,-50.5345
-33.0675,-85.8048,1.3359,-48.4713
-12.3443,-58.2682,1.6782,-78.3634
-13.7991,-34.8796,1.3108,-20.1466
-24.3606,-17.2343,1.6014,48.3993
20.2789,19.6126,0.6043,-20.3808
11.5498,-37.9411,1.4819,-23.2193
-194.6728,-48.0092,0.6276,83.1500
14.5168,53.6594,1.5973,-36.2392
-10.0631,-74.7861,1.4050,2.0512
