Model, Buckling, Stiffness 
sample1, 16429.5, 8460403.712
sample2, -30935.0, 6291428.864
sample3, 24006.5, 8599803.904
sample4, -14605.1, 6830623.232
sample5, -22295.0, 12270452.736
sample6, -14548.1, 2112817.664
sample7, -33573.2, 7734937.088
sample8, -25259.7, 6233011.712
sample9, 13487.6, 4714008.064
sample10, 27739.0, 7867995.648
sample11, 23765.3, 2834948.864
sample12, -21983.9, 7845802.496
sample13, -22588.8, 9257285.632
sample14, 22510.7, 2932681.216
sample15, -19482.1, 10482691.072
sample16, -24925.0, 4027722.496
sample17, 15346.5, 5642723.328
sample18, 32602.5, 4089256.704
sample19, -15040.1, 7915937.28
sample20, -17684.2, 5877927.424
sample21, -31394.9, 9390280.704
sample22, 17670.3, 9575437.312
sample23, 22283.0, 7140111.872
sample24, -19823.8, 7801382.4
sample25, 22825.6, 2403956.736
sample26, -18853.2, 12678432.768
sample27, -18336.4, 9642222.592
sample28, 16854.6, 10219291.648
sample29, 12801.0, 5275672.064
sample30, 21640.4, 8968264.704
sample31, 22209.3, 5355177.472
sample32, -27886.3, 1778495.232
sample33, -14687.9, 5699970.048
sample34, 13399.7, 7099211.264
sample35, 18683.1, 12654611.456
sample36, -16785.4, 8638667.776
sample37, 22711.7, 7841066.496
sample38, 29255.4, 9386443.776
sample39, 14442.9, 8342387.712
sample40, -32343.0, 8813436.928
sample41, 22518.1, 3813732.096
sample42, -25703.0, 11387203.584
sample43, 36307.1, 6925765.632
sample44, -21799.9, 11252615.168
sample45, -18871.0, 12375086.08
sample46, 21631.7, 7349413.376
sample47, 27461.7, 1618394.496
sample48, -15076.1, 4775620.096
sample49, -13570.8, 7049132.032
sample50, -20381.0, 12562686.976
sample51, 18219.8, 6570798.592
sample52, 21722.4, 8794457.088
sample53, -15848.2, 10457356.288
sample54, 31912.8, 6212395.52
sample55, 18627.2, 6238696.96
sample56, 36389.0, 4203616.256
sample57, -9808.58, 1953723.136
sample58, 15762.8, 5399866.88
sample59, -31456.0, 9112417.28
sample60, 22481.3, 5139864.064
sample61, 16156.4, 8961655.808
sample62, -35413.7, 6408050.176
sample63, -36731.9, 6222062.08
sample64, 24506.5, 4301692.416
