Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Theta9,Theta10,Theta11,Theta12,Theta13,Theta14,Theta15,Theta16,Theta17,Theta18,Theta19,Theta20,Theta21,Theta22,Theta23,Theta24,Theta25,Theta26,Theta27,Theta28,Theta29,Theta30,Theta31,Theta32,Theta33,Theta34,Theta35,Theta36,Theta37,Theta38,Theta39,Theta40,Theta41,Theta42,Theta43,Theta44,Theta45,Theta46,Theta47,Theta48,Theta49,Theta50,Theta51,Theta52,Theta53,Theta54,Theta55,Theta56,Theta57,Theta58,Theta59,Theta60,Theta61,Theta62,Theta63,Theta64,Theta65,Theta66,Theta67,Theta68,Theta69,Theta70
60.155,60.154,60.153,60.153,60.152,60.152,60.151,60.150,60.150,60.149,60.149,60.148,60.147,60.147,60.146,60.145,60.145,60.144,60.143,60.143,60.142,60.141,60.141,60.140,60.139,60.138,60.138,60.137,60.136,60.136,60.135,60.134,60.134,60.133,60.132,60.132,60.131,60.130,60.130,60.129,60.128,60.128,60.127,60.127,60.126,60.125,60.125,60.124,60.124,60.123,60.123,60.122,60.122,60.121,60.121,60.120,60.120,60.119,60.119,60.118,60.118,60.117,60.117,60.117,60.116,60.116,60.116,60.115,60.115,60.115
-56.164,-55.144,-53.987,-52.712,-51.348,-49.929,-48.502,-47.121,-45.845,-44.737,-43.856,-43.252,-42.960,-42.999,-43.367,-44.040,-44.979,-46.132,-47.438,-48.835,-50.265,-51.675,-53.021,-54.270,-55.396,-56.383,-57.217,-57.893,-58.406,-58.755,-58.939,-58.957,-58.810,-58.498,-58.021,-57.381,-56.581,-55.627,-54.531,-53.307,-51.980,-50.581,-49.151,-47.742,-46.410,-45.218,-44.227,-43.491,-43.053,-42.940,-43.159,-43.697,-44.520,-45.583,-46.827,-48.190,-49.612,-51.037,-52.417,-53.714,-54.899,-55.951,-56.855,-57.604,-58.192,-58.616,-58.876,-58.969,-58.898,-58.661
-50.589,-51.202,-51.707,-52.100,-52.381,-52.550,-52.607,-52.550,-52.381,-52.100,-51.707,-51.202,-50.588,-49.867,-49.043,-48.120,-47.107,-46.012,-44.848,-43.631,-42.380,-41.117,-39.867,-38.656,-37.515,-36.473,-35.556,-34.793,-34.204,-33.808,-33.617,-33.638,-33.868,-34.302,-34.926,-35.720,-36.663,-37.727,-38.883,-40.103,-41.358,-42.621,-43.867,-45.075,-46.227,-47.307,-48.304,-49.208,-50.013,-50.714,-51.307,-51.790,-52.162,-52.422,-52.570,-52.605,-52.527,-52.336,-52.034,-51.619,-51.094,-50.459,-49.718,-48.875,-47.934,-46.904,-45.795,-44.620,-43.395,-42.140
-4.832,-5.392,-5.877,-6.282,-6.603,-6.839,-6.985,-7.043,-7.009,-6.886,-6.674,-6.375,-5.992,-5.528,-4.987,-4.376,-3.700,-2.965,-2.180,-1.352,-0.489,0.398,1.301,2.210,3.115,4.007,4.876,5.713,6.510,7.258,7.951,8.582,9.144,9.633,10.044,10.373,10.618,10.776,10.847,10.829,10.723,10.529,10.250,9.888,9.445,8.926,8.336,7.679,6.963,6.194,5.380,4.528,3.649,2.751,1.843,0.935,0.038,-0.841,-1.690,-2.502,-3.268,-3.980,-4.631,-5.214,-5.724,-6.156,-6.506,-6.770,-6.947,-7.034
69.195,69.991,70.636,71.134,71.494,71.720,71.814,71.779,71.615,71.317,70.883,70.307,69.582,68.700,67.655,66.444,65.067,63.534,61.867,60.106,58.308,56.555,54.945,53.587,52.585,52.025,51.957,52.386,53.274,54.545,56.097,57.821,59.616,61.394,63.091,64.663,66.084,67.341,68.431,69.357,70.124,70.741,71.213,71.547,71.747,71.818,71.758,71.569,71.246,70.786,70.182,69.428,68.515,67.440,66.197,64.789,63.229,61.541,59.767,57.972,56.237,54.667,53.368,52.444,51.974,52.000,52.520,53.487,54.819,56.412
-36.521,-35.950,-35.597,-35.475,-35.589,-35.934,-36.497,-37.255,-38.179,-39.234,-40.384,-41.590,-42.818,-44.033,-45.206,-46.312,-47.331,-48.246,-49.045,-49.720,-50.263,-50.670,-50.939,-51.068,-51.056,-50.903,-50.610,-50.179,-49.613,-48.916,-48.096,-47.162,-46.127,-45.008,-43.826,-42.607,-41.380,-40.181,-39.045,-38.010,-37.112,-36.386,-35.859,-35.553,-35.479,-35.642,-36.034,-36.639,-37.434,-38.388,-39.465,-40.630,-41.844,-43.071,-44.280,-45.441,-46.530,-47.529,-48.421,-49.195,-49.843,-50.358,-50.737,-50.977,-51.077,-51.036,-50.854,-50.532,-50.072,-49.479
-37.392,-36.212,-35.053,-33.946,-32.918,-31.998,-31.213,-30.586,-30.137,-29.879,-29.821,-29.964,-30.304,-30.831,-31.527,-32.372,-33.341,-34.406,-35.539,-36.710,-37.892,-39.058,-40.186,-41.256,-42.249,-43.154,-43.957,-44.650,-45.228,-45.685,-46.017,-46.223,-46.302,-46.252,-46.074,-45.770,-45.341,-44.790,-44.122,-43.342,-42.460,-41.485,-40.431,-39.315,-38.155,-36.974,-35.799,-34.655,-33.572,-32.579,-31.704,-30.972,-30.406,-30.023,-29.835,-29.848,-30.062,-30.470,-31.058,-31.810,-32.702,-33.708,-34.800,-35.950,-37.127,-38.307,-39.462,-40.572,-41.616,-42.580
23.052,23.354,23.520,23.545,23.429,23.175,22.787,22.273,21.643,20.910,20.090,19.202,18.266,17.306,16.345,15.409,14.522,13.709,12.992,12.392,11.925,11.605,11.440,11.435,11.591,11.903,12.362,12.955,13.666,14.474,15.357,16.291,17.251,18.213,19.150,20.042,20.866,21.604,22.240,22.761,23.157,23.418,23.542,23.525,23.367,23.073,22.646,22.096,21.434,20.673,19.831,18.926,17.981,17.017,16.061,15.137,14.270,13.484,12.800,12.238,11.813,11.539,11.422,11.465,11.668,12.025,12.526,13.156,13.898,14.731
-22.823,-22.828,-22.834,-22.840,-22.845,-22.850,-22.856,-22.861,-22.866,-22.871,-22.875,-22.880,-22.884,-22.889,-22.893,-22.897,-22.901,-22.905,-22.909,-22.912,-22.916,-22.919,-22.922,-22.925,-22.928,-22.931,-22.933,-22.936,-22.938,-22.940,-22.942,-22.944,-22.946,-22.947,-22.949,-22.950,-22.951,-22.952,-22.953,-22.954,-22.954,-22.955,-22.955,-22.955,-22.955,-22.955,-22.955,-22.954,-22.954,-22.953,-22.952,-22.951,-22.950,-22.948,-22.947,-22.945,-22.943,-22.941,-22.939,-22.937,-22.935,-22.932,-22.929,-22.927,-22.924,-22.921,-22.917,-22.914,-22.911,-22.907
18.871,18.495,18.076,17.618,17.124,16.597,16.040,15.458,14.855,14.235,13.603,12.964,12.323,11.685,11.055,10.439,9.842,9.268,8.722,8.209,7.734,7.300,6.911,6.571,6.281,6.045,5.865,5.741,5.676,5.669,5.721,5.831,5.999,6.222,6.500,6.829,7.207,7.631,8.098,8.602,9.141,9.708,10.301,10.913,11.540,12.177,12.818,13.458,14.092,14.715,15.322,15.910,16.472,17.007,17.509,17.975,18.403,18.789,19.131,19.427,19.675,19.873,20.021,20.118,20.162,20.155,20.095,19.983,19.820,19.607
