Amplitude1,PhaseShift1,Omega1,Beta1,Amplitude2,PhaseShift2,Omega2,Beta2,Buckling,Stiffness
40.998,-69.705,0.282,51.977,5.336,25.933,0.083,-2.505,285.404,296.308
124.065,-35.390,1.383,85.445,-104.031,89.547,0.615,67.874,213.988,41.787
-22.019,71.136,0.843,-23.434,-54.128,30.584,0.187,-72.443,288.255,209.231
9.238,50.642,1.849,-31.208,-134.060,-59.045,1.172,-69.516,328.882,144.290
-37.355,44.029,0.882,30.512,7.794,87.321,1.904,-27.752,225.334,189.342
49.263,-72.246,0.168,-21.463,-130.089,62.221,1.129,79.346,305.787,239.280
-113.504,26.590,1.179,-81.326,-39.756,36.231,1.777,78.440,198.121,39.916
-115.591,-52.561,1.927,74.940,-35.548,-76.619,1.655,-75.958,227.674,41.014
-10.376,29.935,1.966,38.422,-44.986,-0.597,0.033,-61.388,321.181,94.442
-33.255,73.054,0.910,-27.686,15.007,20.896,1.277,-21.407,247.276,301.330
-47.164,23.996,0.449,4.718,-21.391,-85.559,0.151,72.900,242.169,277.892
149.262,-83.831,0.595,59.319,104.315,-62.587,0.367,32.658,214.719,81.141
27.596,-81.634,1.010,28.734,-117.336,46.172,0.336,60.702,318.879,145.913
-59.437,-8.265,0.579,-4.072,-121.413,-35.898,1.728,-73.970,244.766,263.389
-28.399,2.005,0.859,-11.620,47.546,52.113,1.036,-46.442,275.023,279.028
7.618,-31.050,1.707,-15.388,56.057,80.266,0.556,77.025,286.139,251.624
-99.894,41.473,0.969,63.061,30.233,23.865,1.152,39.790,206.495,82.206
-17.877,20.412,1.490,-55.636,31.665,-50.690,0.446,45.484,203.372,54.975
-33.821,-6.492,1.310,-47.893,-27.751,3.176,0.928,-33.009,210.286,118.450
13.195,-68.337,1.878,42.116,-37.198,-12.673,1.443,-52.931,231.126,72.396
-63.087,-44.075,0.799,-41.782,-98.864,31.862,1.019,-71.365,298.352,88.204
-68.478,-26.191,1.414,67.748,-8.204,-33.161,1.782,-24.524,261.364,189.605
9.495,65.171,1.659,23.820,-38.349,67.465,0.755,-15.848,258.638,386.391
-43.029,40.296,0.747,25.239,188.972,-87.734,0.110,74.712,333.873,164.501
20.082,33.854,1.562,-83.030,-7.369,-71.597,1.670,8.903,209.672,280.391
-14.894,0.053,0.456,78.691,19.919,11.289,1.000,3.411,225.682,283.812
-10.300,-9.229,1.983,-37.779,165.910,-9.271,0.232,82.585,354.593,123.619
136.765,-32.568,0.541,-46.433,195.404,48.436,1.294,-79.869,318.874,94.969
10.752,-4.827,1.326,8.204,-47.530,82.602,0.856,37.045,274.434,319.776
-170.236,-19.614,0.202,76.615,58.631,41.919,0.836,-41.913,235.069,84.547
-21.313,-27.657,1.632,-84.941,-55.337,-59.930,1.396,59.478,248.902,58.086
23.456,-78.598,1.333,-45.642,25.227,-28.933,0.975,-20.994,223.941,193.567
