Amplitude1,PhaseShift1,Omega1,Beta1,Amplitude2,PhaseShift2,Omega2,Beta2,Buckling,Stiffness
1.346,43.532,0.577,42.909,-8.553,-40.104,1.525,-6.376,292.386,298.618
-22.383,-71.063,1.114,27.844,29.049,-70.370,0.821,1.689,215.937,383.198
-35.555,52.964,0.195,-80.748,1.128,-32.291,0.035,26.998,304.865,192.210
-23.268,54.123,1.211,35.123,-48.020,42.979,1.229,53.272,243.675,105.103
-101.971,-77.838,1.118,78.264,7.348,21.548,1.688,11.832,232.324,273.162
6.779,-2.816,1.835,18.479,170.705,-88.694,0.439,45.514,282.120,230.864
53.961,-64.132,0.971,46.984,-73.914,-56.981,0.656,-47.009,220.980,65.763
71.016,61.682,0.700,76.957,3.620,75.020,0.593,-48.152,261.044,72.232
66.218,-50.065,1.397,-62.190,24.206,39.986,0.913,-8.728,282.792,270.017
172.547,-59.835,1.011,79.948,63.563,56.393,1.943,-88.622,163.995,40.417
12.962,42.111,1.950,-81.201,-69.896,-37.788,1.296,-79.554,172.036,40.190
38.515,-21.937,1.177,-46.808,7.095,45.728,1.819,-20.159,225.530,214.909
-124.966,-33.014,0.517,67.908,-86.383,-48.070,0.610,-50.460,229.946,54.078
-81.975,73.663,0.456,-35.386,143.710,86.037,0.358,-1.845,215.412,307.293
9.674,5.076,1.421,0.199,132.681,-47.876,0.326,-12.338,166.448,535.541
3.609,-53.411,0.738,11.033,-41.504,77.963,0.200,-16.393,238.855,472.298
-196.777,89.570,0.046,21.087,190.304,1.853,0.247,-71.273,394.774,219.048
16.115,88.339,1.273,25.673,23.128,-73.796,1.901,-85.892,284.056,203.461
15.587,-9.942,1.300,-25.716,-16.267,17.155,0.029,-32.637,200.169,207.136
138.250,66.809,0.603,89.937,-32.705,-66.282,1.896,-59.481,233.875,53.644
187.766,6.057,0.215,50.923,7.541,67.226,1.614,-3.232,324.534,290.546
-16.649,70.634,1.164,17.712,-155.375,6.398,1.397,-73.616,292.741,231.852
15.929,-81.076,1.791,-43.528,-21.674,-86.718,1.197,65.208,276.172,79.209
-54.161,-13.095,1.853,-65.873,-6.093,59.484,1.879,13.820,330.105,255.146
-115.797,40.592,0.256,-63.158,-24.591,-76.831,0.892,1.198,291.415,282.075
47.172,58.216,1.289,-74.731,-13.123,-57.925,1.653,-35.546,262.878,125.088
-49.261,15.285,0.635,-6.395,-165.803,-68.052,0.806,-72.902,243.084,276.569
-18.171,-40.091,1.573,-66.642,8.471,82.161,1.715,23.149,329.668,207.189
-2.554,21.543,0.225,-7.612,-16.887,33.662,1.843,47.174,305.113,296.529
-136.236,4.313,0.618,73.265,36.939,-60.760,0.475,-60.091,245.459,47.075
-122.118,-18.398,0.410,49.205,60.128,-16.036,0.103,-14.909,276.846,285.527
-9.400,-86.348,0.179,34.102,-37.637,69.669,1.362,-52.214,242.811,114.576
-70.344,-23.501,0.589,24.857,15.821,-29.372,1.152,12.525,195.876,357.207
6.074,60.018,1.804,-5.010,130.764,-75.727,0.521,40.836,292.523,296.540
41.559,-8.100,1.649,-59.228,-32.486,23.942,1.766,-57.058,211.311,52.685
80.956,-54.201,0.542,32.921,-9.484,15.557,0.990,27.029,200.257,170.149
-39.421,-45.084,1.905,62.276,-67.771,38.623,0.570,18.113,234.287,167.669
-93.651,22.990,1.328,66.345,-129.664,18.041,0.932,85.693,198.015,47.499
57.660,30.108,0.709,-31.756,-12.353,20.795,1.450,-25.022,204.562,194.836
155.458,48.982,0.016,56.303,124.602,24.523,0.644,56.722,199.169,55.537
-32.564,-83.420,0.358,6.915,-22.298,-5.786,1.040,-22.023,194.891,439.760
-52.595,64.781,0.389,-11.233,-117.332,-45.052,0.551,-82.120,211.869,287.555
57.065,75.515,0.067,9.299,14.556,89.458,1.539,-34.339,296.947,326.464
169.024,50.238,1.560,-88.491,-30.214,-51.298,0.950,-28.183,243.230,178.400
-154.542,-60.578,0.053,15.642,76.300,32.950,0.947,-77.133,298.731,267.822
14.730,-36.328,1.879,-45.086,36.897,-63.306,1.737,58.433,220.374,66.639
-36.051,51.952,1.053,40.055,-34.651,46.592,0.117,-87.722,317.919,112.066
6.028,19.361,1.898,-14.491,-29.758,-22.047,1.005,31.705,282.954,309.598
196.034,-38.851,0.656,74.463,17.000,-43.375,1.489,37.795,248.787,108.073
-158.151,0.851,0.136,-27.289,-40.728,12.709,0.742,-18.576,217.997,267.045
24.802,78.691,0.512,-2.812,53.086,44.646,0.783,-56.833,265.978,287.945
-181.880,-24.545,0.096,12.866,-10.798,87.535,0.534,-10.248,179.416,531.411
8.075,-78.887,1.438,-56.777,107.663,-71.180,1.962,-75.022,239.402,49.744
-162.081,86.242,1.139,-77.182,148.959,84.367,0.065,-62.472,231.472,44.038
-10.153,27.772,0.110,41.064,-147.882,-72.796,0.088,20.746,235.872,245.729
83.593,-89.179,1.199,81.046,12.820,-85.263,0.418,-10.904,258.750,283.283
-121.861,-84.025,0.899,61.443,-105.904,29.288,1.067,63.379,233.902,58.443
-86.646,-0.925,0.247,55.046,94.561,-36.285,0.457,39.582,186.087,61.470
15.314,-28.739,1.364,-60.348,31.328,1.114,0.795,5.833,304.561,280.010
6.665,-30.468,1.954,23.922,-67.052,41.766,1.341,61.767,283.789,191.143
-5.735,84.736,1.043,20.358,-1.333,-6.104,1.967,75.520,267.708,230.076
-20.621,73.253,1.077,-21.693,-6.130,5.363,1.250,88.160,247.185,218.874
12.964,-3.845,1.973,44.230,-32.174,65.913,0.724,3.328,258.969,292.626
-20.777,70.106,1.382,-39.408,-43.569,-59.833,1.138,48.442,237.757,90.012
-48.065,-6.361,0.870,-38.568,15.158,8.709,1.864,-45.361,201.164,97.444
-25.884,12.368,0.033,70.624,-8.646,35.651,1.725,24.534,276.942,191.457
101.864,59.627,0.750,52.173,114.739,-83.556,0.313,66.303,260.195,70.523
-39.997,34.363,0.797,-25.272,15.713,-0.058,0.077,-43.538,256.627,187.861
-57.969,24.410,0.733,-34.298,128.620,-62.634,0.633,-79.193,264.376,160.877
-40.222,31.595,1.666,84.646,-5.381,61.358,1.920,-5.712,218.899,289.299
9.793,11.501,1.540,-18.996,17.119,-79.217,1.471,37.329,269.770,231.727
-104.627,-68.352,0.435,28.875,89.321,-49.946,1.675,-70.123,298.812,251.265
99.942,-72.746,0.126,87.723,-49.552,80.439,1.577,84.742,152.475,40.343
-30.263,17.477,0.831,-12.815,45.833,25.539,0.692,17.169,170.427,447.296
135.215,9.668,1.342,-71.456,-52.116,78.021,0.284,9.639,308.454,261.228
6.876,-35.172,1.710,7.532,-34.556,-25.877,1.593,-54.830,302.425,286.873
178.950,-26.864,1.627,-86.704,29.241,-40.785,0.976,28.944,263.384,173.556
-38.865,68.095,1.258,-49.412,-113.383,-9.534,0.161,69.443,261.200,65.862
20.209,-15.171,0.984,1.657,74.871,70.533,0.713,-41.325,272.432,306.575
-24.466,-66.893,1.821,53.510,-65.135,82.812,0.381,78.400,255.284,61.581
-27.205,47.695,0.848,-0.242,140.155,-14.981,1.127,-85.089,223.212,286.839
-36.975,-48.261,1.492,-78.094,134.624,63.513,0.265,-25.510,262.616,164.975
199.678,-43.440,0.486,82.950,19.629,-11.761,1.061,-16.834,260.491,246.099
21.946,-47.814,0.277,64.681,-44.403,-53.969,0.882,-65.947,239.909,40.641
-14.964,-62.095,1.532,58.040,55.277,-7.518,0.513,-30.162,247.887,136.318
-12.846,-27.120,1.241,5.006,-14.555,-12.977,1.565,-36.128,277.035,336.446
-14.670,-17.722,1.991,45.859,-17.862,-20.098,1.309,-83.130,315.950,85.759
45.035,-4.592,0.807,31.408,67.583,53.635,0.496,-68.151,344.754,153.636
50.610,20.212,0.916,-42.685,-29.073,-54.225,1.249,81.610,305.410,91.734
9.013,8.139,1.508,-10.414,-57.987,-82.101,0.181,-53.383,272.507,269.424
-23.858,-80.888,1.668,-49.901,17.535,13.766,1.406,35.193,222.626,101.245
-171.594,14.815,0.672,63.501,24.172,4.262,1.798,52.495,208.481,58.413
-187.123,1.735,1.605,-82.565,-38.316,52.348,1.087,-43.168,252.419,93.773
-143.849,46.280,0.964,-84.604,-100.357,55.250,0.218,-38.707,261.693,123.627
183.041,-41.014,1.722,-88.928,7.343,-17.093,1.644,59.958,248.233,50.415
-19.545,-20.332,1.475,-41.000,-178.908,48.259,0.409,70.749,318.896,93.421
-65.445,83.924,1.741,69.273,-24.584,72.370,1.170,72.122,214.032,41.253
-174.222,-75.544,0.323,14.751,-12.247,9.387,1.430,-23.602,204.376,402.182
163.213,34.743,0.852,75.742,89.215,-33.511,0.134,6.824,249.243,269.538
40.411,36.843,0.157,36.650,-33.183,28.289,1.105,-40.137,220.480,104.836
12.683,-57.234,1.414,-23.532,43.492,-1.891,0.347,-29.209,208.260,278.181
34.754,77.282,0.777,-57.285,117.081,50.713,0.860,-66.131,219.846,44.752
-92.732,56.370,0.479,-16.252,41.491,-43.948,0.392,67.786,257.771,270.448
24.410,-55.610,1.087,-29.516,-52.770,-34.553,1.510,61.009,269.581,142.677
-49.605,37.931,0.301,-3.634,6.120,-3.889,1.992,21.650,216.109,445.713
89.850,80.699,1.226,-73.120,43.501,61.588,1.024,44.257,246.943,81.787
32.207,64.251,1.033,-36.111,-195.039,-18.537,0.213,30.428,261.945,298.982
-70.403,-31.749,0.566,-20.082,180.304,-27.317,0.273,-0.754,231.277,299.228
13.956,-70.213,1.685,38.546,46.089,11.985,1.318,54.516,210.329,85.738
68.002,-14.921,0.941,-51.146,-46.759,68.771,0.677,15.496,272.996,202.644
10.511,-88.176,1.461,-16.894,25.237,-30.684,1.380,-64.217,276.637,247.841
6.270,28.547,1.770,3.026,10.488,-23.283,1.815,34.082,253.612,357.383
79.438,-64.709,0.378,85.936,-18.209,-65.859,1.617,43.288,255.647,102.176
-93.220,39.825,1.589,-75.525,155.631,-80.784,1.781,83.760,191.339,40.898
-82.518,-74.064,0.933,-55.217,-143.917,36.146,0.003,79.737,274.273,61.291
74.460,26.694,1.926,-70.226,47.110,57.665,0.836,89.669,191.028,43.964
-20.172,81.879,0.345,-53.345,97.651,-87.582,1.456,77.173,289.985,60.856
38.353,-43.855,0.295,-30.833,-111.825,-24.861,1.205,74.367,361.294,185.660
94.836,-11.155,0.424,-68.375,40.513,31.456,1.273,50.873,240.646,58.538
-35.846,-51.881,1.765,59.011,-35.525,74.521,0.752,8.451,292.137,255.710
87.622,13.473,0.989,-60.260,-53.304,54.122,0.799,-38.534,203.770,104.786
14.199,27.687,1.204,-10.905,8.471,-14.721,1.390,-48.216,273.260,272.610
169.049,-53.550,0.132,-85.711,-115.632,-80.329,1.062,81.965,174.696,40.307
126.302,78.744,0.440,-38.729,-93.864,30.670,0.535,-62.521,205.192,56.616
-127.518,30.659,0.900,70.398,-0.468,-64.224,1.568,41.767,246.247,92.780
8.716,62.475,1.823,-28.926,81.344,19.466,0.139,-73.569,293.331,167.271
-52.614,-26.256,0.860,40.861,-19.569,42.074,1.091,20.113,208.078,224.421
192.115,-10.851,0.211,-76.814,130.673,-25.185,0.874,-84.488,182.390,40.491
-16.108,21.621,1.433,33.088,10.289,26.960,1.434,13.132,222.147,317.427
-38.550,56.357,0.779,21.240,112.477,-53.135,0.851,-58.478,270.924,173.586
12.062,-86.717,0.627,17.368,-8.781,-76.874,1.670,-21.606,260.332,346.067
46.233,-63.681,0.718,-22.478,-84.002,38.300,0.352,88.555,225.731,213.858
17.523,-45.549,1.641,42.892,61.852,53.100,0.118,77.391,289.769,92.053
46.863,-66.100,0.502,56.621,52.215,4.871,1.306,56.468,207.267,47.986
-39.407,-82.704,1.379,-52.992,33.951,-46.870,0.014,-70.356,249.607,53.404
-177.364,11.166,0.544,82.766,-197.040,70.218,1.253,-80.889,179.641,40.268
-6.500,89.663,1.739,-3.499,-15.896,6.565,1.137,-10.492,166.131,509.337
-1.088,-20.985,0.065,-32.101,52.548,-71.050,0.725,29.636,231.033,160.932
-187.106,-14.250,0.185,89.656,-154.116,-21.183,0.309,50.680,260.823,101.608
-8.112,-41.351,1.557,3.433,7.381,-32.907,1.638,5.476,166.314,533.982
