Amplitude1,PhaseShift1,Omega1,Beta1,Amplitude2,PhaseShift2,Omega2,Beta2,Buckling,Stiffness
0.731,53.935,0.287,60.139,11.175,57.869,1.577,26.764,30849.600,8921105.408
-21.386,52.824,1.920,-52.354,-12.054,41.798,1.467,24.498,-28290.900,9863467.008
-25.190,-47.913,1.434,-44.606,22.533,-54.472,0.417,-46.854,-18581.200,12435418.112
-15.749,-44.060,1.123,1.951,-65.559,55.657,1.812,-67.539,-15458.000,4810661.376
55.010,-62.397,1.803,65.163,-16.628,-73.251,1.138,-13.436,32586.600,5889773.568
17.192,-31.009,1.716,-44.290,47.093,48.416,1.025,-52.003,-19432.000,11962868.736
16.943,-82.930,1.568,-39.001,59.830,89.809,0.609,57.508,-21263.500,11426019.328
7.444,-28.783,1.763,17.689,-9.531,40.777,1.450,5.096,13040.600,3712738.560
-5.756,-43.857,0.195,-22.468,-26.187,22.208,1.168,56.978,19009.100,9117972.480
15.358,33.388,0.979,13.128,196.889,16.708,0.524,58.834,14480.200,6961316.352
80.626,-69.807,1.287,-87.209,-15.633,85.602,1.981,-47.890,-31538.400,6981761.024
43.778,4.903,1.497,-88.257,106.321,57.318,0.663,-47.663,-28783.300,6470343.168
7.148,25.555,1.671,5.471,13.727,47.113,1.222,8.361,10270.500,2245827.840
84.488,-3.056,0.200,28.145,18.712,-58.442,1.069,12.955,19478.700,7386739.712
48.995,7.182,0.753,29.269,-44.712,8.383,1.280,53.041,15764.200,9448624.128
10.395,-63.518,1.657,-27.295,24.582,-42.979,0.544,0.215,-16529.400,5059546.112
-42.933,40.282,0.141,-73.359,183.378,77.892,0.151,29.131,-35822.600,6687866.368
74.891,-80.640,0.523,9.825,170.680,86.688,0.008,-22.174,16545.300,6553055.744
35.042,49.533,0.861,25.654,-120.276,-17.393,1.498,-79.111,-18467.400,4984706.048
18.536,86.612,1.109,-17.705,-67.631,-17.895,1.640,66.005,17340.600,6636434.944
78.198,-58.703,0.807,48.199,14.669,2.812,1.214,14.162,25498.700,7736930.304
41.901,-9.902,1.018,-42.188,53.868,58.485,0.848,41.081,-25026.600,11272267.776
-8.789,-24.041,1.880,-31.168,-161.246,89.602,0.007,39.965,-19041.800,11159327.744
-25.592,-49.236,0.880,0.969,-6.575,-53.458,1.755,6.938,10738.900,2432915.712
-37.203,81.898,0.408,72.786,15.878,-38.958,1.520,35.558,32951.900,8098442.240
65.360,23.395,0.574,58.464,32.146,-1.883,0.930,-28.110,28402.100,9676155.904
-60.448,31.232,1.341,89.750,-88.417,-52.788,0.314,-70.952,-24646.200,3467229.440
49.107,63.689,0.858,38.107,-169.507,34.984,0.062,11.777,17806.800,6339413.504
42.348,-57.426,1.293,-88.735,178.950,16.039,0.148,-89.466,-21664.900,1580428.928
-87.039,27.537,0.602,-35.790,106.980,-39.110,1.817,-77.978,-17655.300,5561581.056
-2.041,37.257,1.146,-9.840,136.833,-68.472,1.613,-74.068,-15400.800,4123385.856
96.528,-13.017,0.395,72.207,38.647,88.529,1.328,51.257,27452.700,8451865.600
83.025,-29.480,0.496,-86.608,-104.071,-20.623,0.293,-65.667,-25096.000,4441199.616
9.287,-45.358,1.766,-28.329,-29.575,-24.731,1.689,-54.430,-16970.300,10033846.272
8.275,64.902,1.607,12.904,104.132,5.192,0.934,-65.971,-17435.000,5560787.456
-136.481,67.041,1.181,76.029,-155.348,28.708,0.407,-85.341,22689.300,2981304.320
-17.116,23.002,1.364,-32.518,-198.837,9.602,0.139,-54.854,-17914.700,10357959.680
125.824,-33.356,1.751,-82.788,-46.352,0.402,0.986,81.207,-23080.900,2446584.064
-73.694,-12.450,0.189,-68.518,-195.625,-19.824,0.259,-60.048,-22839.000,7371580.928
26.141,37.427,1.432,-46.139,-165.340,-29.026,0.264,-51.206,-19004.000,11434795.008
-49.743,79.002,0.810,35.773,9.722,-13.472,1.454,-21.310,23140.800,8465501.184
27.948,-46.290,0.951,23.804,41.482,65.850,1.433,55.299,15994.500,8903628.800
11.549,-31.395,1.317,4.873,3.267,31.183,0.027,43.402,13602.200,7550802.432
-25.111,41.883,1.049,-27.873,-53.374,7.107,1.731,-63.832,-17056.800,8734136.320
-6.871,87.133,1.707,-4.549,-30.210,58.200,1.372,47.075,13934.800,6989037.056
-4.974,-57.132,1.999,-2.313,-9.319,85.017,1.042,-43.661,-13540.000,7227684.864
100.749,84.239,0.237,-75.302,30.195,-55.957,1.595,52.404,-29145.700,7754511.872
82.638,-41.630,0.401,-11.069,-19.328,74.333,1.032,-9.099,10379.600,2345714.688
-155.328,54.458,0.332,59.844,28.386,-82.930,0.667,-40.939,29541.100,10672825.344
