Buckling,Amplitude1,PhaseShift1,Omega1,Beta1,Amplitude2,PhaseShift2,Omega2,Beta2
47623.1580,-82.0448,-34.5756,0.0000,90.0000,200.0000,90.0000,2.0000,-90.0000
47366.4543,200.0000,-90.0000,0.0000,71.4717,200.0000,90.0000,2.0000,-90.0000
47057.6757,200.0000,90.0000,0.0000,90.0000,15.7313,-90.0000,2.0000,5.5403
47551.6897,-87.0601,-31.9412,0.0000,90.0000,200.0000,90.0000,2.0000,-90.0000
47042.5380,200.0000,90.0000,0.0000,90.0000,18.2856,-90.0000,2.0000,6.0871
47557.5643,-87.8164,-32.2232,0.0000,90.0000,200.0000,90.0000,2.0000,-90.0000
47622.1405,-80.2295,-34.4328,0.0000,90.0000,200.0000,90.0000,2.0000,-90.0000
47055.1277,200.0000,90.0000,0.0000,90.0000,15.9944,-90.0000,2.0000,6.6708
47061.4004,200.0000,90.0000,0.0000,90.0000,15.1108,-90.0000,2.0000,5.3462
47263.4986,-200.0000,-22.2087,0.0000,90.0000,200.0000,90.0000,2.0000,-90.0000
